name,steam_id,position,role,gp_s,pts,g,a,p_per_gp,shots,passes,exits,entries,hits,turnovers,takeaways,touches,possession_s,fow,fol,gp_g,sa,ga,body_sv,stick_sv,gaa,sv_pct,wins,so,sp,sp_per_gp,xG,xGA,team_id,player_key,toi_s,toi_g,toi_total,toi_gp_s,toi_gp_g,toi_gp,blocks,defensive_passes,offensive_passes,defensive_turnovers,offensive_turnovers,defensive_takeaways,offensive_takeaways
Mal,76561197997922795,S/G,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,CGY,name:Mal,0,0,0,0,0,0,0,0,0,0,0,0,0
Niemi,76561198352186342,G,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,KLN,name:Niemi,0,0,0,0,0,0,0,0,0,0,0,0,0
Maverick,,G,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,KLN,name:Maverick,0,0,0,0,0,0,0,0,0,0,0,0,0
Invincible,76561198074692393,S/G,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,KLN,name:Invincible,0,0,0,0,0,0,0,0,0,0,0,0,0
Sho,76561199883277940,S/G,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,206,name:Sho,0,0,0,0,0,0,0,0,0,0,0,0,0
BigChin,76561198039434493,S,,4,5,3,2,0.9093480984520874,15,52,16,26,0,8,3,449,322,15,12,0,0,0,0,0,0,0,0,0,484.5,88.11583074000727,3.20,0.00,206,name:BigChin,4948.6,0,4948.6,1237.15,0,1237.15,0,24,27,2,6,0,3
custom,76561197961501827,S,,4,1,0,1,0.18186961969041748,7,76,23,10,1,11,9,416,309.20000000000005,0,0,0,0,0,0,0,0,0,0,0,323,58.743887160004846,0.42,0.00,206,name:custom,4948.6,0,4948.6,1237.15,0,1237.15,4,64,12,6,5,8,1
cloog,76561198120539424,S/G,,4,5,1,4,0.9093480984520874,12,66,23,18,3,5,12,379,228.10000000000002,0,0,0,0,0,0,0,0,0,0,0,538.5,97.93679020328982,0.74,0.00,206,name:cloog,4948.6,0,4948.6,1237.15,0,1237.15,3,50,16,1,4,7,5
TTVSkitsArk,76561198375175355,S,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,206,name:TTVSkitsArk,0,0,0,0,0,0,0,0,0,0,0,0,0
THESWAGMAN,,S,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,206,name:THESWAGMAN,0,0,0,0,0,0,0,0,0,0,0,0,0
Sven,76561198055585043,S,,4,6,2,4,1.091217718142505,13,46,13,16,0,4,4,416,343.79999999999995,7,10,0,0,0,0,0,0,0,0,0,474,86.20619973325789,2.01,0.00,EVT,name:Sven,4948.6,0,4948.6,1237.15,0,1237.15,1,17,24,1,3,1,3
