team_id,team_name,conference,bg_color,text_color,notes
VIC,Victoria Royals,Heteropolitan,#182957,#FFFFFF,
CGY,Calgary Hitmen,Metropolitan,#000000,#e13a3e,
206,Seattle Thunderbirds,Metropolitan,#003876,#008357,
EVT,Everett Silvertips,Heteropolitan,#bc8448,#045b41,
VAN,Vancouver Giants,Metropolitan,#231f20,#97002e,
KLN,Kelowna Rockets,Heteropolitan,#66b4c0,#ca3437,
