match_id,week,home_team_id,away_team_id,stage,status,imported_on
M1-G1,1,CG67,RR,reg,final,2026-02-11
M1-G2,1,CG67,RR,reg,final,2026-02-11
M1-G3,1,CG67,RR,reg,final,2026-02-11
M2-G1,1,PP,BB,reg,scheduled,
M2-G2,1,PP,BB,reg,scheduled,
M2-G3,1,PP,BB,reg,scheduled,
M3-G1,1,BRG,FOX,reg,scheduled,
M3-G2,1,BRG,FOX,reg,scheduled,
M3-G3,1,BRG,FOX,reg,scheduled,
M4-G1,1,MOFO,LBR,reg,scheduled,
M4-G2,1,MOFO,LBR,reg,scheduled,
M4-G3,1,MOFO,LBR,reg,scheduled,
M5-G1,2,BB,BRG,reg,scheduled,
M5-G2,2,BB,BRG,reg,scheduled,
M5-G3,2,BB,BRG,reg,scheduled,
M6-G1,2,FOX,LBR,reg,scheduled,
M6-G2,2,FOX,LBR,reg,scheduled,
M6-G3,2,FOX,LBR,reg,scheduled,
M7-G1,2,MOFO,PP,reg,scheduled,
M7-G2,2,MOFO,PP,reg,scheduled,
M7-G3,2,MOFO,PP,reg,scheduled,
M8-G1,2,RR,TOR,reg,scheduled,
M8-G2,2,RR,TOR,reg,scheduled,
M8-G3,2,RR,TOR,reg,scheduled,
M9-G1,3,BB,CG67,reg,scheduled,
M9-G2,3,BB,CG67,reg,scheduled,
M9-G3,3,BB,CG67,reg,scheduled,
M10-G1,3,FOX,MOFO,reg,scheduled,
M10-G2,3,FOX,MOFO,reg,scheduled,
M10-G3,3,FOX,MOFO,reg,scheduled,
M11-G1,3,LBR,BRG,reg,scheduled,
M11-G2,3,LBR,BRG,reg,scheduled,
M11-G3,3,LBR,BRG,reg,scheduled,
M12-G1,3,TOR,PP,reg,scheduled,
M12-G2,3,TOR,PP,reg,scheduled,
M12-G3,3,TOR,PP,reg,scheduled,
M13-G1,4,BB,FOX,reg,scheduled,
M13-G2,4,BB,FOX,reg,scheduled,
M13-G3,4,BB,FOX,reg,scheduled,
M14-G1,4,LBR,CG67,reg,scheduled,
M14-G2,4,LBR,CG67,reg,scheduled,
