name,steam_id,position,role,gp_s,pts,g,a,p_per_gp,shots,passes,exits,entries,hits,turnovers,takeaways,touches,possession_s,fow,fol,gp_g,sa,ga,body_sv,stick_sv,gaa,sv_pct,wins,so,sp,sp_per_gp,xG,xGA,team_id,player_key,toi_s,toi_g,toi_total,toi_gp_s,toi_gp_g,toi_gp,blocks,defensive_passes,offensive_passes,defensive_turnovers,offensive_turnovers,defensive_takeaways,offensive_takeaways
extendo,76561198713607416,S/G,,5,6,1,5,1.2,3,54,17,11,0,13,7,324,183.8,0,0,3,19,7,8,4,2.0595638955179965,0.631578947368421,3,0,491.5,58.520419637777984,0.48,3.01,BCL,name:extendo,4500,3058.9,7558.9,900,1019.6333333333333,944.8625,1,46,8,5,8,5,2
ghost,76561199046702548,S/G,,0,2,0,2,0,0,25,3,2,0,1,4,100,35,0,0,8,64,21,29,14,2.511227445457203,0.671875,3,1,652.5,78.02742419813453,0.00,9.72,TOR,name:ghost,0,7526.2,7526.2,0,940.775,940.775,0,25,0,1,0,4,0
Lucifumu,76561199237527332,S,,19,26,2,24,1.2595339724302008,19,284,94,68,18,33,44,1479,992.7000000000003,0,0,0,0,0,0,0,0,0,0,0,2127,103.03956766765528,3.31,0.00,SEA,name:Lucifumu,18578.3,0,18578.3,977.8052631578947,0,977.8052631578947,20,211,73,13,20,35,9
ThrockMorton,76561198928599928,S/G,,0,2,0,2,0,0,16,6,1,0,0,2,71,17.3,0,0,6,39,12,13,14,1.7202930869703728,0.6923076923076923,4,1,470,67.3781459063396,0.00,5.73,SEA,name:ThrockMorton,0,6278,6278,0,1046.3333333333333,1046.3333333333333,0,16,0,0,0,2,0
walker,76561198157694887,S,,11,6,0,6,0.4863287582405707,5,131,27,21,1,6,22,575,344.2,0,0,0,0,0,0,0,0,0,0,0,788,63.87117691559495,1.26,0.00,LL,name:walker,11103.599999999999,0,11103.599999999999,1009.4181818181817,0,1009.4181818181817,14,104,27,2,4,20,2
BrunoFernandge,76561199015723244,S,,2,2,0,2,1.5088013411567478,0,11,4,4,0,2,1,104,67.1,2,2,0,0,0,0,0,0,0,0,0,93,70.15926236378877,0.00,0.00,NK,name:BrunoFernandge,1193,0,1193,596.5,0,596.5,0,7,4,0,2,1,0
Poro,76561198072423953,S,,6,10,4,6,1.36919612973894,22,71,17,27,0,9,6,555,338.7,0,0,0,0,0,0,0,0,0,0,0,771.5,105.63348140935922,3.03,0.00,BCL,name:Poro,6573.2,0,6573.2,1095.5333333333333,0,1095.5333333333333,0,34,37,4,5,6,0
Quick,76561198018657100,S/G,,0,3,0,3,0,0,25,6,3,0,0,3,99,20.5,0,0,10,79,20,45,14,1.9951230325870095,0.7468354430379747,6,2,942.5,94.02017291066282,0.00,13.05,TOR,name:Quick,0,9022,9022,0,902.2,902.2,0,25,0,0,0,3,0
SupaWoov,76561198079525076,S/G,,4,5,0,5,1.2037235180826023,7,47,10,18,6,2,7,250,173.4,0,0,0,0,0,0,0,0,0,0,0,403,97.02011555745773,0.61,0.00,PKN,name:SupaWoov,3738.4,0,3738.4,934.6,0,934.6,3,37,10,0,2,5,2
Gumpy,76561198983591530,G,,0,0,0,0,0,0,12,2,0,0,0,1,62,20.9,0,0,5,60,24,22,14,4.8,0.6,1,0,390,78,0.00,9.63,PKN,name:Gumpy,0,4500,4500,0,900,900,0,12,0,0,0,1,0
placenta,76561198243022268,S,,7,12,3,9,1.7840329054958126,5,74,31,20,7,10,13,581,377.9,0,0,0,0,0,0,0,0,0,0,0,806,119.82754348580208,0.57,0.00,LL,name:placenta,6053.7,0,6053.7,864.8142857142857,0,864.8142857142857,3,51,23,5,5,10,3
