gm_id,skater1,skater2,skater3,goalie1,league
Sundin's Seniors,name:player 43,name:nickisntcool,name:stinkyshawn,name:Jarry,OG
John Puck's Jackasses,name:SupaWoov,name:Midnight,name:Pyros,name:Zen,OG
