name,steam_id,position,role,gp_s,pts,g,a,p_per_gp,shots,passes,exits,entries,hits,turnovers,takeaways,touches,possession_s,fow,fol,gp_g,sa,ga,body_sv,stick_sv,gaa,sv_pct,wins,so,sp,sp_per_gp,xG,xGA,team_id,player_key,toi_s,toi_g,toi_total,toi_gp_s,toi_gp_g,toi_gp,blocks,defensive_passes,offensive_passes,defensive_turnovers,offensive_turnovers,defensive_takeaways,offensive_takeaways
Ogre,76561198086317978,G,Captain,0,2,0,2,0,1,64,10,3,0,0,2,276,74.4,0,0,19,168,29,91,48,1.4823902264478863,0.8273809523809523,9,4,2010,102.7449777641466,0.00,22.92,BCK,name:Ogre,0,17606.7,17606.7,0,926.6684210526316,926.6684210526316,0,64,0,0,0,2,0
cb,76561198987362385,S,,30,55,25,30,1.8352297373953084,101,391,54,90,100,47,43,2381,1702.2,92,101,0,0,0,0,0,0,0,0,0,4499,150.12179251893622,25.92,0.00,BCK,name:foxbrow,26972.100000000002,0,26972.100000000002,899.07,0,899.07,2,117,250,6,41,24,19
cat,76561198103395907,S,,27,35,9,26,1.3012926173332175,36,320,141,128,1,43,48,2378,1829.0000000000002,0,0,0,0,0,0,0,0,0,0,0,2836.5,105.46047168759063,4.98,0.00,BCK,name:cat,24206.7,0,24206.7,896.5444444444445,0,896.5444444444445,15,251,69,19,23,39,9
Mushy,76561198011028796,S,,26,29,3,26,1.1198496569655936,40,267,100,97,8,40,42,2067,1442.1999999999996,0,0,0,0,0,0,0,0,0,0,0,2214.5,85.51403673621748,8.56,0.00,BCK,name:Mushy,23306.7,0,23306.7,896.4115384615385,0,896.4115384615385,8,197,70,14,25,37,5
Sven,76561198055585043,S,,9,9,3,6,1.1748324775911583,19,79,20,27,3,4,15,498,387.4,0,0,0,0,0,0,0,0,0,0,0,829.5,108.28039335131842,2.42,0.00,BCK,name:Sven,6894.6,0,6894.6,766.0666666666667,0,766.0666666666667,3,42,37,0,4,10,5
Sundin,76561197978559731,S/G,,0,6,0,6,0,0,31,9,1,0,0,0,108,39.3,0,0,9,78,20,34,24,2.2222222222222223,0.7435897435897436,5,2,1037.5,115.27777777777777,0.00,9.93,BCK,name:Sundin,0,8100,8100,0,900,900,0,31,0,0,0,0,0
Figgy,76561198084156245,S,,23,42,21,21,1.7824555447099266,99,274,89,119,7,41,62,2409,1678.6,3,3,0,0,0,0,0,0,0,0,0,3685.5,156.41047404829604,17.09,0.00,BCK,name:Figgy,21206.7,0,21206.7,922.0304347826087,0,922.0304347826087,5,139,134,11,30,45,17
Oettinger,76561198023931168,S/G,,9,5,1,4,0.6059626726993618,9,73,22,24,0,8,12,543,318.7,1,0,2,17,3,8,6,1.5,0.8235294117647058,2,0,666.5,65.01593288677896,1.03,2.71,BCK,name:Oettinger,7426.2,1800,9226.2,825.1333333333333,900,838.7454545454547,4,57,15,3,5,8,4
Naka,76561198177471671,G,Captain,2,2,0,2,1.001669449081803,1,108,20,5,0,6,10,478,170.9,0,0,22,265,62,112,91,2.832429798379728,0.7660377358490567,5,1,2491,104.28703005944904,0.07,37.96,BLD,name:Nakamura,1797,19700.4,21497.4,898.5,895.4727272727273,895.725,1,107,1,5,1,10,0
Invincible,76561198074692393,S,,24,20,2,18,0.8014425966740132,16,262,99,53,8,18,50,1440,880.3,0,0,0,0,0,0,0,0,0,0,0,1927,77.21899418954118,2.68,0.00,BLD,name:Invincible,22459.5,0,22459.5,935.8125,0,935.8125,13,235,27,11,7,45,5
placenta,76561198243022268,S,,20,24,13,11,1.1620087688624687,75,214,85,134,16,61,34,2765,2162.6,40,33,0,0,0,0,0,0,0,0,0,2329,112.7632676116954,15.23,0.00,BLD,name:placenta,18588.5,0,18588.5,929.425,0,929.425,7,100,106,14,47,17,17
Miku,76561198366630907,S/G,,22,14,6,8,0.6452207576735183,23,229,65,40,9,14,26,1209,798.7999999999998,0,0,7,49,11,20,18,1.9024924572900053,0.7755102040816326,1,0,2017,73.39913229472866,4.79,7.71,BLD,name:Miku,19528.2,5203.7,24731.9,887.6454545454545,743.3857142857142,852.8241379310346,17,189,39,6,8,20,6
Pogba,76561198109056374,S,,12,14,2,12,1.1457253532653173,22,138,58,52,8,28,18,1146,805.6,4,2,0,0,0,0,0,0,0,0,0,1080,88.3845272518959,3.40,0.00,RCH,name:Pogba,10997.4,0,10997.4,916.4499999999999,0,916.4499999999999,2,84,54,6,22,13,5
ThrockMorton,76561198928599928,S/G,,0,0,0,0,0,0,10,2,0,0,0,2,45,21.2,0,0,2,28,10,9,9,5,0.6428571428571428,0,0,205,102.5,0.00,5.37,BLD,name:ThrockMorton,0,1800,1800,0,900,900,0,10,0,0,0,2,0
Jyler,76561198299335773,S,,25,23,12,11,0.9368593036465098,71,215,50,80,31,33,25,1738,1170.8,58,72,0,0,0,0,0,0,0,0,0,2242.5,91.3437821055347,15.09,0.00,BLD,name:Jyler,22095.100000000002,0,22095.100000000002,883.8040000000001,0,883.8040000000001,2,89,118,5,28,13,12
Mobys,76561198059190306,S,,12,6,1,5,0.5514874842979258,10,88,28,19,0,5,11,526,339.79999999999995,0,0,0,0,0,0,0,0,0,0,0,609.5,56.021936946597634,1.12,0.00,BLD,name:Mobys,9791.699999999999,0,9791.699999999999,815.9749999999999,0,815.9749999999999,4,74,14,2,3,10,1
Bloomer,76561199030119453,S,Captain,21,24,11,13,1.1052041813558193,57,293,130,117,4,50,45,2596,1838.6999999999998,6,13,6,57,16,25,16,2.5258283489151214,0.7192982456140351,1,0,2904.5,103.54723707664884,9.14,9.43,BLM,name:Bloomer,19543.9,5701.1,25245,930.6619047619048,950.1833333333334,935,8,225,82,10,43,38,11
BrunoFernandge,76561199015723244,S,,24,31,10,21,1.294141112404737,67,229,67,118,3,57,46,2454,1724.4,12,15,0,0,0,0,0,0,0,0,0,2455,102.48762680495578,18.87,0.00,BLM,name:BrunoFernandge,21558.699999999997,0,21558.699999999997,898.2791666666666,0,898.2791666666666,3,113,115,11,45,28,18
Nem,76561197966112800,S,,17,25,3,22,1.4402212179790816,21,196,76,52,33,21,29,1275,878.6000000000001,0,0,0,0,0,0,0,0,0,0,0,1828,105.30897545863044,3.14,0.00,CLE,name:Nem,15622.6,0,15622.6,918.9764705882353,0,918.9764705882353,11,169,27,9,12,24,5
Gumpy,76561198983591530,G,,0,2,0,2,0,1,68,16,5,0,2,3,269,109.80000000000001,0,0,21,162,39,67,56,1.7520477994579138,0.7592592592592593,12,4,1860,83.55920274337743,0.00,23.45,BLM,name:Gumpy,0,20033.699999999997,20033.699999999997,0,953.9857142857142,953.9857142857142,0,68,0,0,2,3,0
FORD,76561198042105035,S,,25,34,5,29,1.298012683195826,54,271,100,87,14,30,45,1886,1230.6000000000001,13,23,0,0,0,0,0,0,0,0,0,2607,99.52703132622113,9.35,0.00,BLM,name:FORD,23574.5,0,23574.5,942.98,0,942.98,11,170,96,12,18,35,10
Draisaitl,76561199060203717,S,,1,1,0,1,0.9965673790277931,0,6,2,2,0,2,1,33,15.4,0,0,0,0,0,0,0,0,0,0,0,51.5,51.32322001993135,0.02,0.00,,name:Draisaitl,903.1,0,903.1,903.1,0,903.1,1,5,1,1,1,1,0
Kadri,76561199733129849,S/G,,16,19,7,12,1.1609197743334894,19,207,66,76,22,30,35,1328,950.6,0,0,4,14,10,1,3,2.322400846386086,0.2857142857142857,2,0,1828.5,88.4520290244558,3.98,1.86,BLM,name:Kadri,14729.7,3875.3,18605,920.60625,968.825,930.25,13,158,49,11,19,31,4
Frolov,76561198020702570,S,,3,2,0,2,0.8891084218325512,1,20,7,4,1,3,4,109,63.8,3,2,0,0,0,0,0,0,0,0,0,143.5,63.79352926648555,0.32,0.00,BLM,name:Frolov,2024.5,0,2024.5,674.8333333333334,0,674.8333333333334,0,8,10,1,2,3,1
Chilliam,76561198319462482,S,Captain,25,17,4,13,0.6788173493291687,26,258,92,69,2,39,38,1686,1173.1,0,0,0,0,0,0,0,0,0,0,0,1761,70.31749130403918,4.13,0.00,CLE,name:Chilliam,22539.2,0,22539.2,901.568,0,901.568,16,186,72,14,25,32,6
Poro,76561198072423953,S,,30,42,22,20,1.3838803565871607,122,310,90,156,2,84,59,3511,2364.2,108,62,0,0,0,0,0,0,0,0,0,3693.5,121.6990975489209,21.36,0.00,CLE,name:Poro,27314.5,0,27314.5,910.4833333333333,0,910.4833333333333,1,138,154,13,71,34,24
SupaWoov,76561198079525076,S/G,,23,26,8,18,1.1148696936490543,50,299,99,93,64,35,49,1875,1375.9,0,0,0,0,0,0,0,0,0,0,0,2652,113.71670875220353,5.63,0.00,CLE,name:SupaWoov,20989,0,20989,912.5652173913044,0,912.5652173913044,10,222,77,13,22,41,8
lain,76561198404691672,S,,29,40,22,18,1.3516963789555891,83,300,93,145,3,103,43,3500,2591.1,34,31,0,0,0,0,0,0,0,0,0,3203,108.23708754486881,20.31,0.00,BLM,name:lain,26633.2,0,26633.2,918.3862068965517,0,918.3862068965517,3,131,167,15,87,29,14
Quick,76561198018657100,S/G,,0,4,0,4,0,0,74,21,8,0,4,3,263,88.29999999999998,0,0,18,116,33,47,36,1.8046154407028887,0.7155172413793103,8,3,1435,78.47342901238319,0.00,14.57,CLE,name:Quick,0,16457.8,16457.8,0,914.3222222222222,914.3222222222222,0,74,0,2,2,3,0
custom,76561197961501827,S,,7,2,0,2,0.30144189707433894,3,63,15,12,2,10,11,354,198.69999999999996,0,0,0,0,0,0,0,0,0,0,0,307,46.27133120091102,0.41,0.00,CLE,name:custom,5971.3,0,5971.3,853.0428571428572,0,853.0428571428572,2,43,20,4,6,9,2
cloog,76561198120539424,S/G,,6,11,1,10,1.7444011770302892,3,110,29,14,4,2,12,515,234.7,0,0,12,108,19,47,42,1.577607203483652,0.8240740740740741,6,2,1859,101.3109691483242,0.86,15.94,CLE,name:cloog,5675.3,10839.2,16514.5,945.8833333333333,903.2666666666668,917.4722222222222,1,97,13,1,1,12,0
Puff,76561198317592509,S/G,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,CLE,name:puff,0,0,0,0,0,0,0,0,0,0,0,0,0
LickMyStickLisa,76561199015081675,S/G,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,RCH,name:LickMyStickLisa,0,0,0,0,0,0,0,0,0,0,0,0,0
Woo,76561198217845669,S,,2,2,2,0,1.5,2,12,4,5,0,0,0,91,61.599999999999994,1,7,0,0,0,0,0,0,0,0,0,179,134.25,0.37,0.00,BLM,name:Woo,1200,0,1200,600,0,600,0,9,3,0,0,0,0
Light,76561198271974799,G,Captain,15,12,2,10,0.7590612941995067,7,121,20,15,1,3,20,565,260.49999999999994,0,0,1,8,3,5,0,3,0.625,0,0,1030,61.276697007555484,1.91,0.45,LGT,name:Light,14228.099999999999,900,15128.099999999999,948.5399999999998,900,945.5062499999999,8,92,29,2,1,15,5
LePuckuer,76561198073174004,S,,30,49,17,32,1.5146467369838266,82,337,135,168,5,47,72,2796,2199.5000000000005,44,64,0,0,0,0,0,0,0,0,0,3968,122.65547453779232,14.41,0.00,LGT,name:LePuckuer,29115.7,0,29115.7,970.5233333333333,0,970.5233333333333,6,204,128,9,38,45,27
Dorofeyev,76561199007915478,S,,27,54,27,27,1.8398149585284511,104,329,130,164,7,48,76,3047,2179.5,3,16,0,0,0,0,0,0,0,0,0,4584,156.1798475906374,20.63,0.00,LGT,name:Dorofeyev,26415.699999999997,0,26415.699999999997,978.3592592592591,0,978.3592592592591,7,175,154,11,37,58,18
Winky,76561198064107575,S,,26,26,3,23,0.926057842997578,11,318,97,86,2,24,47,1566,1070.2,0,0,0,0,0,0,0,0,0,0,0,2260.5,80.5136059267702,2.95,0.00,LGT,name:Winky,25268.4,0,25268.4,971.8615384615385,0,971.8615384615385,21,253,65,8,16,42,5
Bwall,76561198278689368,G,,1,8,0,8,109.0909090909091,0,83,14,3,0,7,6,373,125.9,0,0,19,234,42,117,75,2.1315468940316684,0.8205128205128205,10,2,2567.5,129.82033304119193,0.00,37.43,LGT,name:Bwall,66,17733.600000000002,17799.600000000002,66,933.3473684210527,889.9800000000001,0,83,0,6,1,6,0
Marsamune,76561198054769515,S,,5,3,0,3,0.6,1,55,23,12,0,7,16,362,269.59999999999997,0,0,0,0,0,0,0,0,0,0,0,377.5,75.5,0.47,0.00,LGT,name:Jarry,4500,0,4500,900,0,900,5,47,8,4,3,14,1
Invincible,76561198074692393,S/G,,24,20,2,18,0.8014425966740132,16,262,99,53,8,18,50,1440,880.3,0,0,0,0,0,0,0,0,0,0,0,1927,77.21899418954118,2.68,0.00,LGT,name:Invincible,22459.5,0,22459.5,935.8125,0,935.8125,13,235,27,11,7,45,5
Greenporkiepine,76561199098356294,S/G,,3,5,0,5,1.4033118158854898,2,75,29,10,0,1,11,348,157.1,0,0,11,108,15,48,45,1.2879098653895689,0.8611111111111112,5,2,1541.5,101.34927824206652,0.02,11.46,LGT,name:Greenporkiepine,3206.7,10482.1,13688.8,1068.8999999999999,952.9181818181819,977.7714285714285,4,73,2,1,0,11,0
ttearr,76561198763818494,G,Captain,0,17,0,17,0,1,93,25,12,0,1,6,373,122.59999999999998,0,0,29,219,36,102,81,1.2102874432677762,0.8356164383561644,23,12,3772.5,126.82803832576904,0.00,30.43,RCH,name:ttearr,0,26770.5,26770.5,0,923.1206896551724,923.1206896551724,0,93,0,1,0,6,0
BarDownBart,76561198268552083,S,,30,80,48,32,2.6051654641898296,144,411,137,255,16,101,44,4845,3407.0999999999995,115,86,0,0,0,0,0,0,0,0,0,6104.5,198.7904072018352,35.14,0.00,RCH,name:BarDownBart,27637.4,0,27637.4,921.2466666666667,0,921.2466666666667,4,178,230,17,83,31,12
Lucifumu,76561199237527332,S,,24,44,11,33,1.9055318166069983,52,327,163,146,30,50,53,2453,1755.2000000000003,0,0,0,0,0,0,0,0,0,0,0,3394,146.98579512645802,8.65,0.00,RCH,name:Lucifumu,20781.600000000002,0,20781.600000000002,865.9000000000001,0,865.9000000000001,16,248,78,17,33,42,11
MissTheNetMarge,76561199355357311,S,,27,45,6,39,1.6258530710558008,49,327,110,126,18,70,44,2542,1907.2,0,0,0,0,0,0,0,0,0,0,0,2948.5,106.52950622240064,11.62,0.00,RCH,name:MissTheNetMarge,24910,0,24910,922.5925925925926,0,922.5925925925926,13,199,128,13,57,35,9
Mal,76561197997922795,S,,20,44,20,24,2.1246458923512748,62,208,46,92,3,53,10,1685,1232.6,6,6,0,0,0,0,0,0,0,0,0,2805.5,135.47031934071592,14.33,0.00,RCH,name:Mal,18638.4,0,18638.4,931.9200000000001,0,931.9200000000001,0,68,139,5,48,6,4
KANE,76561199227728239,S,,2,2,0,2,0.879206760123089,0,15,3,1,0,1,0,59,17.5,0,0,0,0,0,0,0,0,0,0,0,96.5,42.42172617593904,0.04,0.00,RCH,name:KANE,2047.3,0,2047.3,1023.65,0,1023.65,0,11,4,0,1,0,0
Dan,,S/G,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,name:Dan,0,0,0,0,0,0,0,0,0,0,0,0,0
TSUJIMOTO,,S,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,name:TSUJIMOTO,0,0,0,0,0,0,0,0,0,0,0,0,0
Sho,76561199883277940,S,,1,2,1,1,1.4927848731132858,2,9,4,0,0,1,1,58,37.1,0,0,0,0,0,0,0,0,0,0,0,134,100.01658649859016,1.38,0.00,BLM,name:Sho,1205.8,0,1205.8,1205.8,0,1205.8,0,5,4,1,0,1,0
