match_id,home_team_id,away_team_id,home_goals,away_goals,xg_home,xg_away,ot,away_shots,home_shots,away_passes,home_passes,away_fow,home_fow,away_fol,home_fol,away_hits,home_hits,away_takeaways,home_takeaways,away_turnovers,home_turnovers,away_exits,home_exits,away_entries,home_entries,away_touches,home_touches,away_possession_s,home_possession_s,gwg_steam_id,score_summary,shot_summary,away_blocks,home_blocks
M3-G1,CLE,BCK,0,2,0.79,1.05,0,5,4,34,51,2,3,3,2,4,3,14,5,5,14,10,14,10,17,272,372,357.8509849999993,441.1916620000003,76561198055585043,P1 01:34|Red|Sven|cb|Oettinger;P3 12:40|Red|cb|Sven|Oettinger,P1 - 0:24|Blue|76561198319462482|shot|shot|6|19.29||-19.6|8.2|M;P1 - 0:33|Blue|76561198404691672|shot|deke|178|39.46|2.2|-4.6|36.8|S;P1 - 0:42|Red|76561198023931168|shot|shot|5|12.48||-21|6.7|M;P1 - 1:09|Red|76561198987362385|shot|shot|72|34.3||1.1|25|M;P1 - 1:33|Red|76561198055585043|shot|shot|23|12.09|1.1|-18.4|23.7|G;P1 - 1:36|Red|76561198987362385|shot|shot|4|12.46||-11.1|0.5|M;P1 - 2:20|Blue|76561198319462482|shot|shot|24|40.16||-6.7|15.5|M;P1 - 2:37|Red|76561198011028796|shot|shot|10|34.03||20.4|14.9|M;P1 - 3:05|Blue|76561198404691672|shot|shot|75|15.61|2.3|-10.6|32.1|S;P1 - 3:45|Red|76561198055585043|shot|shot|15|25.15|0.1|-11.5|12.8|S;P1 - 4:22|Red|76561198023931168|shot|shot|12|34.08||19.3|15.5|M;P2 - 2:48|Blue|76561198404691672|shot|deke|262|33.03|0.9|0|34.2|S;P2 - 3:09|Red|76561198023931168|shot|shot|36|20.6||-18.6|37.2|M;P2 - 3:11|Red|76561198011028796|shot|shot|178|13.43||1|34.8|M;P2 - 3:16|Red|76561198011028796|shot|shot|0|37.88||18|19.3|M;P2 - 3:50|Red|76561198011028796|shot|shot|6|19.55||-17.1|22.2|M;P2 - 3:58|Blue|76561198079525076|shot|shot|56|37.99||5.8|25|M;P2 - 4:08|Red|76561198987362385|shot|shot|30|22.81||-19.2|34.7|M;P2 - 4:33|Blue|76561198072423953|shot|shot|41|12.68||17.1|36.6|M;P2 - 4:39|Blue|76561198319462482|shot|shot|9|40.2||-18.7|15.5|M;P2 - 4:47|Red|76561198023931168|shot|shot|0|36.9||6|-41.3|M;P3 - 0:30|Red|76561198023931168|shot|shot|28|37.93||-15.6|23.1|M;P3 - 1:43|Blue|76561198079525076|shot|shot|6|19.39||4.5|2.5|M;P3 - 2:17|Blue|76561198404691672|shot|shot|98|15.07||-8.5|32.6|M;P3 - 2:33|Red|76561198987362385|shot|shot|2|17.44||20.6|-3|M;P3 - 2:40|Red|76561198987362385|shot|deke|247|22.36|0.1|0.8|34.4|G;P3 - 3:09|Blue|76561198319462482|bat|shot|0|29.45||-20.8|-25.3|M;P3 - 3:36|Red|76561198011028796|shot|shot|28|36.49|0.1|7.5|17.9|S;P3 - 4:08|Blue|76561198404691672|shot|shot|26|27.28|10.7|-19.8|28.9|S;P3 - 4:15|Blue|76561198319462482|shot|shot|3|24.07||21.5|4|M;P3 - 4:36|Red|76561198011028796|shot|shot|0|29.1||18.7|-38|M;P3 - 4:38|Red|76561198055585043|shot|shot|2|17.31||8.8|-7.1|M;P3 - 4:44|Red|76561198987362385|shot|one_timer|340|9.28|0.2|1|35.8|S;P3 - 4:49|Red|76561198011028796|shot|shot|10|35.57||-13.4|9.6|M,2,0
M3-G2,CLE,BCK,2,0,2.66,2.05,0,12,10,45,62,1,4,4,1,1,1,19,8,8,19,21,19,17,13,351,408,389.2640950000018,461.77390400000064,76561198072423953,P1 02:31|Blue|Poro|lain|SupaWoov;P2 07:13|Blue|SupaWoov|Chilliam|Poro,P1 - 0:03|Blue|76561198319462482|bat|shot|6|23.46||-19|7.8|M;P1 - 0:31|Blue|76561198404691672|shot|shot|1|20.91||-8.6|36.5|M;P1 - 1:23|Red|76561198987362385|shot|shot|112|34.85||-7.8|33.4|M;P1 - 1:33|Red|76561198084156245|shot|shot|2|19.3||-3.5|-7.7|M;P1 - 1:55|Red|76561198987362385|shot|one_timer|152|39.91|0.1|4.8|33|S;P1 - 2:21|Red|76561198084156245|shot|shot|15|14.57||20.6|32.4|M;P1 - 2:30|Blue|76561198404691672|shot|shot|130|14.1||6.9|34.9|M;P1 - 2:30|Blue|76561198072423953|shot|one_timer|305|23.7|0.8|-2|38.6|G;P1 - 2:31|Red|76561198987362385|bat|one_timer|3|12.22||0|0|S;P1 - 2:57|Blue|76561198072423953|shot|one_timer|296|19.98|0.5|0.5|34.8|S;P1 - 3:00|Blue|76561198404691672|shot|wrap_bank|199|4.06|0.1|-5.9|44.2|S;P1 - 3:19|Blue|76561198072423953|shot|shot|1|26||-3.6|-20.6|M;P1 - 3:36|Blue|76561198404691672|shot|deke|215|36.05|0.1|2.7|34.1|S;P1 - 3:37|Blue|76561198079525076|shot|rebound|368|19.18||6|36.1|M;P1 - 3:52|Red|76561198011028796|shot|deke|180|31.79|0.1|5.1|36.1|S;P1 - 4:15|Red|76561198084156245|shot|shot|166|31.48|2.4|5.2|34.5|S;P1 - 4:23|Blue|76561198072423953|shot|shot|42|34.41|0.3|-15.7|31.9|S;P1 - 4:43|Red|76561198084156245|shot|shot|5|34.94||9.8|34.1|M;P1 - 4:47|Red|76561198987362385|shot|shot|11|16.79||-22|20.8|M;P1 - 4:49|Red|76561198084156245|shot|shot|162|13.27|0.1|-3|36.1|S;P1 - 4:52|Red|76561198011028796|shot|shot|21|36.55||16.3|17.5|M;P2 - 0:11|Red|76561198084156245|shot|shot|4|16.19||-21.9|3.8|M;P2 - 0:16|Red|76561198987362385|shot|shot|25|13.1||19.1|39.7|M;P2 - 0:56|Blue|76561198319462482|shot|shot|8|38.52||20.4|11.8|M;P2 - 0:58|Blue|76561198072423953|shot|deke|186|37.1|3.6|0.1|35|S;P2 - 1:09|Red|76561198023931168|shot|shot|61|15.14|0.1|10|27.4|S;P2 - 1:19|Blue|76561198319462482|shot|shot|4|13.33||-12.1|-0.8|M;P2 - 1:22|Blue|76561198072423953|shot|shot|105|36.03||-7.5|32.6|M;P2 - 1:35|Red|76561198084156245|shot|shot|15|13.61||-19.5|18.8|M;P2 - 2:00|Blue|76561198319462482|shot|shot|0|34.62||21.3|-35.3|M;P2 - 2:12|Blue|76561198079525076|shot|shot|42|44.41|1|-13.1|26.7|G;P2 - 2:21|Red|76561198084156245|shot|shot|53|38.63||-6.4|23.9|M;P2 - 2:24|Red|76561198987362385|shot|shot|14|29.7||18.4|36.1|M;P2 - 2:43|Red|76561198011028796|shot|shot|37|20.11||0.7|18.9|M;P2 - 3:17|Red|76561198084156245|shot|shot|98|39.24||3.2|27.7|M;P2 - 3:19|Red|76561198084156245|shot|one_timer|392|21.93|1.1|-0.6|36.3|S;P2 - 3:29|Red|76561198011028796|shot|shot|35|37.29||-4.5|18.9|M;P2 - 3:32|Red|76561198023931168|shot|shot|63|21.99|0.1|-6.2|25|S;P2 - 3:51|Red|76561198084156245|shot|shot|24|38.9|0.9|18.2|25|S;P2 - 4:34|Red|76561198987362385|shot|shot|38|14.79||18.5|38.5|M;P2 - 4:41|Red|76561198023931168|shot|shot|2|15.84||-20.6|-0.5|M;P2 - 4:55|Blue|76561198072423953|shot|shot|2|21.22||-20.9|7.8|M;P3 - 0:10|Blue|76561198404691672|shot|deke|113|31.34||5.9|39.7|M;P3 - 0:16|Red|76561198011028796|shot|shot|3|14.58||-18.1|1.9|M;P3 - 0:35|Blue|76561198079525076|shot|shot|45|20.08||-0.2|21|M;P3 - 0:58|Blue|76561198404691672|shot|deke|201|34.44||2.7|33.6|M;P3 - 1:16|Red|76561198084156245|shot|shot|2|17.06||-22.1|-4.4|M;P3 - 1:24|Blue|76561198072423953|shot|shot|86|38.4|0.5|-8.3|31.4|S;P3 - 1:36|Blue|76561198072423953|shot|shot|8|21.24||-19.4|10.2|M;P3 - 1:42|Red|76561198084156245|shot|shot|28|42.85||-4.5|17.4|M;P3 - 1:51|Red|76561198987362385|shot|shot|41|22.58||6.2|21.1|M;P3 - 2:01|Blue|76561198404691672|shot|shot|49|40.16|0.1|2.2|23.7|S;P3 - 2:25|Red|76561198023931168|shot|shot|8|29.2|0.1|-17.9|10.2|S;P3 - 2:49|Red|76561198011028796|shot|shot|56|30.85||-10|26.5|M;P3 - 2:53|Red|76561198084156245|shot|shot|70|37.12||-8.1|27.7|M;P3 - 3:03|Blue|76561198079525076|shot|shot|0|25.07||-17.5|-33.5|M;P3 - 3:06|Blue|76561198404691672|shot|shot|21|18.49||-9.9|16.9|M;P3 - 3:11|Blue|76561198072423953|shot|shot|16|35.33||19.1|23|M;P3 - 3:17|Blue|76561198079525076|shot|one_timer|12|27.68||-19.1|19.1|M;P3 - 3:29|Blue|76561198072423953|shot|shot|148|24.8|4.3|-4.2|34.4|S;P3 - 3:37|Red|76561198084156245|bat|one_timer|3|21.46||-10.6|-2.8|M;P3 - 3:38|Blue|76561198079525076|shot|shot|1|19.94||10.6|-6.9|M;P3 - 4:02|Red|76561198084156245|shot|shot|1|34.85||4.9|-17.1|M;P3 - 4:11|Red|76561198987362385|shot|shot|20|24.38||18.6|22.6|M;P3 - 4:21|Blue|76561198404691672|shot|shot|55|13.53||-12.4|30.9|M;P3 - 4:34|Red|76561198011028796|shot|shot|10|12.46||8.8|7.9|M;P3 - 4:37|Red|76561198987362385|shot|shot|23|18.56||20.8|30.2|M;P3 - 4:38|Red|76561198084156245|shot|shot|97|15.42|2.3|-0.3|33.8|S,0,1
M3-G3,CLE,BCK,2,1,2.28,1.62,0,7,13,36,51,0,6,6,0,5,5,6,9,9,6,18,18,14,18,355,377,418.0175309999995,408.9693380000017,76561198072423953,P1 03:51|Blue|Poro|Chilliam|lain;P2 09:18|Blue|Poro|lain|SupaWoov;P3 14:03|Red|cb|Sven|Mushy,P1 - 0:30|Blue|76561198079525076|shot|shot|87|35.61|1|2.5|26.5|S;P1 - 0:47|Red|76561198987362385|shot|shot|2|12.16||-4.6|-6.7|M;P1 - 0:58|Blue|76561198072423953|shot|deke|170|6.77|1.1|-5.4|37.6|S;P1 - 2:29|Red|76561198987362385|shot|shot|93|28.48||-9.8|35.1|M;P1 - 2:34|Red|76561198055585043|shot|shot|18|30.99||18.6|23.6|M;P1 - 2:37|Red|76561198055585043|shot|shot|61|15.28||6.8|26.6|M;P1 - 2:54|Red|76561198987362385|bat|shot|0|38.74||1.4|-25.7|M;P1 - 3:06|Blue|76561198319462482|shot|shot|5|29.59||-11.3|1.4|M;P1 - 3:22|Red|76561198011028796|shot|shot|24|40.73||15.5|21.8|M;P1 - 3:50|Blue|76561198072423953|shot|shot|84|37.55|0.9|5.7|27.7|G;P1 - 4:00|Blue|76561198319462482|shot|shot|2|15.58||-2.9|-9.2|M;P1 - 4:27|Blue|76561198319462482|shot|shot|52|9.83|5.7|13.5|30|S;P1 - 4:33|Blue|76561198072423953|shot|shot|275|19.26|0.2|-1.6|34.7|S;P2 - 0:06|Blue|76561198072423953|shot|shot|132|14.6|0.9|6.5|33.6|S;P2 - 0:18|Blue|76561198404691672|shot|one_timer|143|29.59||3.8|32.8|M;P2 - 1:06|Red|76561198055585043|shot|shot|43|14.51||-15.1|29.3|M;P2 - 2:03|Red|76561198987362385|shot|shot|29|30.84||18.7|28.7|M;P2 - 2:07|Red|76561198055585043|shot|shot|20|28.59|0.1|18.5|21.8|S;P2 - 2:21|Blue|76561198079525076|shot|one_timer|4|15.27||-20.4|4.9|M;P2 - 2:34|Red|76561198023931168|shot|shot|11|34.26||14.7|12.6|M;P2 - 2:57|Blue|76561198072423953|shot|shot|111|28.05|0.3|-7.4|33.4|S;P2 - 3:09|Red|76561198987362385|shot|shot|202|26.84||4|35.2|M;P2 - 3:26|Red|76561198987362385|shot|shot|40|26.96||-17.2|34.8|M;P2 - 4:18|Blue|76561198072423953|shot|shot|84|38.55|1.2|-8.1|29.3|G;P2 - 4:27|Blue|76561198072423953|shot|shot|142|27.63|0.1|-4.1|31.5|S;P3 - 0:09|Red|76561198055585043|shot|wrap_bank|98|6.53|0.1|-9.2|45.6|S;P3 - 0:30|Red|76561198055585043|shot|shot|35|31.85||17.9|33.7|M;P3 - 0:34|Red|76561198023931168|shot|shot|28|37.57|0.1|16.2|24.1|S;P3 - 0:38|Red|76561198055585043|shot|shot|99|21.26||-9.4|31.8|M;P3 - 0:56|Blue|76561198072423953|shot|shot|166|34.55|1.4|-4.6|33.5|S;P3 - 1:13|Red|76561198987362385|shot|deke|164|14.02|0.1|5.1|37.9|S;P3 - 1:30|Red|76561198987362385|shot|shot|140|22.54|0.1|5|32|S;P3 - 2:07|Blue|76561198079525076|shot|shot|97|36.52|2.9|2.6|27.5|S;P3 - 2:38|Blue|76561198404691672|shot|shot|24|14.67||7.3|24|M;P3 - 3:01|Blue|76561198079525076|shot|shot|54|15.23||7.6|24.2|M;P3 - 3:34|Blue|76561198079525076|shot|shot|17|35.47||0.6|11.4|M;P3 - 3:50|Red|76561198987362385|shot|shot|31|19.2||-18.9|31|M;P3 - 3:51|Red|76561198055585043|shot|shot|160|14.59|0.6|-0.6|34.6|S;P3 - 4:01|Red|76561198011028796|shot|shot|9|32.1||19.8|12.9|M;P3 - 4:03|Red|76561198987362385|shot|one_timer|246|22.8|0.3|-0.4|35.3|G;P3 - 4:23|Red|76561198023931168|shot|shot|72|16.31||-10.7|31.1|M;P3 - 4:35|Blue|76561198072423953|shot|shot|88|39.12|0.5|-3.9|27.4|S;P3 - 4:37|Blue|76561198072423953|shot|deke|396|30.27|0.1|2.1|39.5|S;P3 - 4:52|Blue|76561198404691672|shot|shot|150|13.4||-0.2|30.6|M;P3 - 4:58|Blue|76561198319462482|shot|shot|2|22.54||22.2|0.1|M,3,2
