name,steam_id,position,role,gp_s,pts,g,a,p_per_gp,shots,passes,exits,entries,hits,turnovers,takeaways,touches,possession_s,fow,fol,gp_g,sa,ga,body_sv,stick_sv,gaa,sv_pct,wins,so,sp,sp_per_gp,xG,xGA,team_id,player_key,toi_s,toi_g,toi_total,toi_gp_s,toi_gp_g,toi_gp,blocks,defensive_passes,offensive_passes,defensive_turnovers,offensive_turnovers,defensive_takeaways,offensive_takeaways
Ogre,76561198086317978,G,Captain,0,0,0,0,0,0,4,0,0,0,0,0,14,7.6,0,0,1,9,1,6,2,1,0.8888888888888888,1,0,90,90,0.00,0.93,BCK,name:Ogre,0,900,900,0,900,900,0,4,0,0,0,0,0
cb,76561198987362385,S,,5,7,2,5,1.4,22,62,13,12,13,7,6,386,228.1,18,15,0,0,0,0,0,0,0,0,0,612.5,122.5,4.51,0.00,BCK,name:foxbrow,4500,0,4500,900,0,900,0,16,39,0,7,3,3
cat,76561198103395907,S,,5,5,0,5,1,5,67,25,25,0,5,5,420,335.1,0,0,0,0,0,0,0,0,0,0,0,425,85,0.91,0.00,BCK,name:cat,4500,0,4500,900,0,900,4,52,15,4,1,5,0
Mushy,76561198011028796,S,,5,6,3,3,1.2,6,47,14,16,2,12,8,411,254.89999999999998,0,0,0,0,0,0,0,0,0,0,0,487.5,97.5,0.92,0.00,BCK,name:Mushy,4500,0,4500,900,0,900,4,30,17,4,8,6,2
Sven,76561198055585043,S,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,BCK,name:Sven,0,0,0,0,0,0,0,0,0,0,0,0,0
Sundin,76561197978559731,S/G,Mascot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,BCK,name:Sundin,0,0,0,0,0,0,0,0,0,0,0,0,0
Figgy,76561198084156245,S,,5,7,3,4,1.4,14,72,24,30,2,15,11,611,417.20000000000005,0,0,0,0,0,0,0,0,0,0,0,641.5,128.3,2.50,0.00,BCK,name:Figgy,4500,0,4500,900,0,900,2,25,47,1,14,6,5
Oettinger,76561198023931168,S/G,,0,2,1,1,0,2,16,5,2,0,1,1,89,36.599999999999994,0,0,4,34,8,15,11,2.0085362791865427,0.7647058823529411,2,0,395,99.17147878483554,0.00,3.03,BCK,name:Oettinger,0,3584.7000000000003,3584.7000000000003,0,896.1750000000001,896.1750000000001,0,16,0,0,1,1,0
Pogba,76561198109056374,S,,3,8,1,7,2.6666666666666665,6,32,10,12,3,12,3,261,169.39999999999998,0,0,0,0,0,0,0,0,0,0,0,377,125.66666666666667,0.78,0.00,RCH,name:Pogba,2700,0,2700,900,0,900,0,12,20,2,10,2,1
Bloomer,76561199030119453,S,Captain,4,3,0,3,0.75,3,38,16,16,2,8,10,371,274.6,3,6,0,0,0,0,0,0,0,0,0,297,74.25,0.56,0.00,BLM,name:Bloomer,3600,0,3600,900,0,900,5,26,11,3,5,4,6
BrunoFernandge,76561199015723244,S,,4,2,1,1,0.5664474305315166,7,31,8,11,0,7,4,252,154.2,2,2,0,0,0,0,0,0,0,0,0,221.5,62.734052931365454,1.34,0.00,BLM,name:BrunoFernandge,3177.7,0,3177.7,794.425,0,794.425,0,18,13,1,6,4,0
Gumpy,76561198983591530,G,,0,0,0,0,0,0,10,2,0,0,0,3,44,14.399999999999999,0,0,4,44,14,20,10,3.5,0.6818181818181819,1,0,325,81.25,0.00,6.48,BLM,name:Gumpy,0,3600,3600,0,900,900,0,10,0,0,0,3,0
FORD,76561198042105035,S,,2,1,0,1,0.5,6,17,8,6,0,2,7,112,59.1,0,0,0,0,0,0,0,0,0,0,0,159,79.5,1.00,0.00,BLM,name:FORD,1800,0,1800,900,0,900,0,14,3,0,2,6,1
