team_id,team_name,conference,bg_color,text_color,notes
RCH,Richmond Drivers,D2 Conference,#9ADCD9,#000000,
CLE,Cleveland Spiders,D2 Conference,#6f000d,#aa0014,
BLD,San Jose Blades,D2 Conference,#006d75,#ea7100,
BLM,Bloomin' Onions,D2 Conference,#ffc700 ,#812c2c,
LGT,Lethbridge Light-Weights,D2 Conference,#83D9D8,#04192E,
BCK,Bucktown,D2 Conference,#f9a01b,#98002e,
